Player,Pos,GP,O/DSnaps17,STSnaps17,,
Dorian Johnson,OL,0,0,0,,
Erik Austell,OL,0,0,0,,
Ethan Cooper,OL,0,0,0,,
Ethan Pocic,OL,16,639,88,,
Forrest Lamp,OL,0,0,0,,
Garrett Bolles,OL,16,1104,55,,
Isaac Asiata,OL,1,0,2,,
J.J. Dielman,OL,0,0,0,,
Javarius Leamon,OL,0,0,0,,
Jermaine Eluemunor,OL,8,198,32,,
Jerry Ugokwe,OL,0,0,0,,
Jessamen Dunker,OL,0,0,0,,
Jon Toth,OL,0,0,0,,
Jordan Morgan,OL,0,0,0,,
Julien Davenport,OL,11,241,31,,
Justin Senior,OL,0,,,,
Kyle Fuller,OL,9,90,40,,
Nate Theaker,OL,0,0,0,,
Nico Siragusa,OL,0,0,0,,
Pat Elflein,OL,14,960,41,,
Roderick Johnson,OL,0,0,0,,
Ryan Ramczyk,OL,16,1039,92,,
Sam Tevi,OL,14,136,90,,
Sean Harlow,OL,0,0,0,,
Taylor Moton,OL,16,64,75,,
Tyler Orlosky,OL,0,0,0,,
Will Holden,OL,7,331,31,,
Zach Banner,OL,8,27,18,,
Alex Anzalone,LB,4,158,28,,
Anthony Walker Jr.,LB,10,115,138,,
Ben Boulware,LB,0,0,0,,
Ben Gedeon,LB,16,244,368,,
Blair Brown,LB,13,50,224,,
Brooks Ellis,LB,0,0,0,,
Connor Harris,LB,0,0,0,,
Devonte Fields,LB,0,0,0,,
Duke Riley,LB,12,223,158,,
Ejuan Price,LB,1,21,3,,
Haason Reddick,LB,16,445,100,,
Hardy Nickerson,LB,14,160,271,,
Harvey Langi,LB,1,6,12,,
Jalen Reeves-Maybin,LB,14,239,263,,
Jarrad Davis,LB,14,830,68,,
Jayon Brown,LB,16,490,214,,
Keith Kelsey,LB,0,0,0,,
Kendell Beckwith,LB,16,850,102,,
Kevin Davis,LB,0,0,0,,
Marquel Lee,LB,13,171,179,,
Matt Milano,LB,16,452,226,,
Pita Taumoepenu,LB,2,0,28,,
Raekwon McMillan,LB,,,,,
Reuben Foster,LB,10,554,11,,
Riley Bullough,LB,3,7,48,,
Ryan Anderson,LB,14,201,147,,
T.J. Watt,LB,15,752,149,,
Tanner Vallejo,LB,15,13,256,,
Tim Williams,LB,8,125,20,,
Tyus Bowser,LB,16,161,293,,
Vince Biegel,LB,9,122,138,,
Zach Cunningham,LB,16,816,214,,
Josh Carraway,LB,1,,2,,
Carroll Phillips,DL,4,3,74,,
Dylan Donahue,DL,4,54,38,,
Takkarist McKinley,DL,16,401,2,,
Tashawn Bower,DL,2,10,5,,
Al-Quadin Muhammad,DL,4,24,21,,
Avery Moss,DL,11,248,18,,
Bryan Cox Jr.,DL,7,130,43,,
Caleb Brantley,DL,12,218,2,,
Carl Lawson,DL,16,482,157,,
Carlos Watkins,DL,12,330,58,,
Charles Harris,DL,16,500,64,,
Charles Walker,DL,0,0,0,,
Chris Wormley,DL,7,120,55,,
Chunky Clements,DL,2,46,1,,
D.J. Jones,DL,9,147,43,,
Daeshon Hall,DL,1,9,,,
Dalvin Tomlinson,DL,16,589,114,,
Davon Godchaux,DL,15,504,81,,
Dawuane Smoot,DL,16,254,186,,
Deatrich Wise Jr.,DL,16,545,33,,
DeMarcus Walker,DL,10,101,,,
Derek Barnett,DL,15,424,76,,
Derek Rivers,DL,0,0,0,,
Eddie Vanderdoes,DL,16,465,82,,
Elijah Qualls,DL,6,103,11,,
Fadol Brown,DL,0,0,0,,
Garrett Sickels,DL,1,19,20,,
Ifeadi Odenigbo,DL,0,0,0,,
Isaac Rochell,DL,3,52,43,,
Jaleel Johnson,DL,5,41,3,,
Jarron Jones,DL,0,0,0,,
Jeremiah Ledbetter,DL,16,348,120,,
Joe Mathis,DL,0,0,0,,
Jonathan Allen,DL,5,159,26,,
Jordan Willis,DL,16,361,136,,
Keionta Davis,DL,0,0,0,,
Ken Ekanem,DL,0,0,0,,
Malik McDowell,DL,0,0,0,,
Montravius Adams,DL,7,65,22,,
Myles Garrett,DL,11,520,60,,
Nazair Jones,DL,11,284,42,,
Noble Nwachukwu,DL,0,0,0,,
Ryan Glasgow,DL,16,412,170,,
Solomon Thomas,DL,14,702,58,,
Stevie Tu'Ikolovatu,DL,0,0,0,,
Taco Charlton,DL,16,401,3,,
Tanoh Kpassagnon,DL,16,159,105,,
Tanzel Smart,DL,16,308,30,,
Tarell Basham,DL,15,222,164,,
Trey Hendrickson,DL,12,282,70,,
Treyvon Hester,DL,14,346,77,,
Vincent Taylor,DL,13,187,93,,
Adoree Jackson,DB,16,1034,224,,
Ahkello Witherspoon,DB,12,662,112,,
Arthur Maulet,DB,6,0,107,,
Ashton Lampkin,DB,0,0,0,,
Brian Allen,DB,10,1,81,,
Budda Baker,DB,16,517,308,,
Cameron Sutton,DB,5,113,37,,
Channing Stribling,DB,0,0,0,,
Chidobe Awuzie,DB,10,312,49,,
Chuck Clark,DB,15,59,355,,
Cordrea Tankersley,DB,11,641,30,,
Corn Elder,DB,0,0,0,,
Damarius Travis,DB,0,0,0,,
Damontae Kazee,DB,16,164,247,,
Delano Hill,DB,15,32,283,,
Desmond King,DB,16,716,190,,
Eddie Jackson,DB,16,1055,129,,
Ezra Robinson,DB,0,0,0,,
Fabian Moreau,DB,16,59,349,,
Gareon Conley,DB,2,92,5,,
Howard Wilson,DB,0,0,0,,
Jabrill Peppers,DB,13,809,169,,
Jack Tocho,DB,0,0,0,,
Jadar Johnson,DB,0,0,,,
Jalen Myrick,DB,5,24,68,,
Jamal Adams,DB,16,1103,105,,
Jamal Carter,DB,16,81,340,,
Jeremy Clark,DB,1,1,6,,
John Johnson,DB,16,718,177,,
Johnathan Ford,DB,0,0,0,,
Josh Harvey-Clemons,DB,0,0,0,,
Josh Jones,DB,16,735,155,,
Jourdan Lewis,DB,15,748,36,,
Justin Evans,DB,14,716,108,,
Kevin King,DB,9,382,73,,
Malik Hooker,DB,7,410,27,,
Marcus Maye,DB,16,1066,51,,
Marcus Williams,DB,15,960,111,,
Marlon Humphrey,DB,16,596,171,,
Marquez White,DB,0,0,0,,
Marshon Lattimore,DB,13,754,48,,
Michael Tyson,DB,0,0,0,,
Montae Nicholson,DB,8,318,58,,
Nate Gerry,DB,0,0,0,,
Nate Hairston,DB,14,536,34,,
Obi Melifonwu,DB,5,34,43,,
Quincy Wilson,DB,7,402,20,,
Rasul Douglas,DB,14,420,81,,
Rayshawn Jenkins,DB,15,76,316,,
Shalom Luani,DB,16,187,289,,
Shaquill Griffin,DB,15,877,51,,
Sidney Jones,DB,1,29,7,,
Sojourn Shelton,DB,0,0,0,,
Tedric Thompson,DB,9,9,105,,
Teez Tabor,DB,10,190,75,,
TreDavious White,DB,16,1092,80,,
Treston DeCoud,DB,10,51,92,,
William Likely,DB,0,0,0,,
Xavier Woods,DB,16,550,203,,
